Territorio,Età,Sesso,Causa iniziale di morte - European Short List
Nord-est,35-39 anni,totale,"omicidio, aggressione"
Nord-est,20-24 anni,femmine,alcune malattie infettive e parassitarie
Nord-est,25-29 anni,totale,di cui tumori maligni del cervello e del sistema nervoso centrale
Nord-est,70-74 anni,maschi,accidenti
Nord-est,80-84 anni,femmine,"ulcera dello stomaco, duodeno e digiuno"
Nord-est,75-79 anni,femmine,di cui avvelenamento accidentale
Nord-est,70-74 anni,totale,di cui tumori maligni della cervice uterina
Nord-est,40-44 anni,maschi,di cui morbo di hodgkin e linfomi
Nord-est,35-39 anni,maschi,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Nord-est,90-94 anni,maschi,artrite reumatoide a osteoartrosi
Nord-est,80-84 anni,femmine,malattie del sistema respiratorio
Nord-est,45-49 anni,totale,"malattie endocrine, nutrizionali e metaboliche"
Nord-est,75-79 anni,maschi,di cui avvelenamento accidentale
Nord-est,70-74 anni,maschi,di cui leucemia
Nord-est,totale,totale,"malattie endocrine, nutrizionali e metaboliche"
Nord-est,65-69 anni,femmine,"altre malattie endocrine, nutrizionali e metaboliche"
Nord-est,15-19 anni,maschi,di cui asma
Nord-est,65-69 anni,totale,"di cui tumori maligni delle labbra, cavità orale e faringe"
Nord-est,20-24 anni,femmine,di cui tumori maligni del cervello e del sistema nervoso centrale
Nord-est,30-34 anni,maschi,di cui annegamento e sommersione accidentali
Nord-est,85-89 anni,femmine,altre malattie del sistema respiratorio
Nord-est,60-64 anni,totale,di cui tumori maligni di altre parti dell'utero
Nord-est,45-49 anni,totale,eventi di intento indeterminato
Nord-est,60-64 anni,femmine,alcune malattie infettive e parassitarie
Nord-est,45-49 anni,femmine,malattie della cute e del tessuto sottocutaneo
Nord-est,totale,femmine,"altri sintomi, segni, risultati anomali e cause mal definite"
Nord-est,35-39 anni,femmine,altre malattie del cuore
Nord-est,90-94 anni,totale,di cui tumori maligni della cervice uterina
Nord-est,80-84 anni,maschi,du cui altre malattie ischemiche del cuore
Nord-est,5-9 anni,totale,Covid-19
Nord-est,55-59 anni,maschi,altre malattie dell'apparato digerente
Nord-est,70-74 anni,totale,di cui tumori maligni dello stomaco
Nord-est,80-84 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Nord-est,85-89 anni,maschi,di cui tumori maligni dello stomaco
Nord-est,60-64 anni,totale,di cui tumori maligni dell'esofago
Nord-est,90-94 anni,femmine,di cui tumori maligni del pancreas
Nord-est,70-74 anni,femmine,suicidio e autolesione intenzionale
Nord-est,75-79 anni,totale,di cui tumori maligni del rene
Nord-est,60-64 anni,femmine,tumori maligni
Nord-est,75-79 anni,maschi,influenza
Nord-est,85-89 anni,maschi,di cui tumori maligni della vescica
Nord-est,25-29 anni,maschi,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Nord-est,35-39 anni,totale,malattie croniche delle basse vie respiratorie
Nord-est,15-19 anni,totale,"altre malattie endocrine, nutrizionali e metaboliche"
Nord-est,70-74 anni,totale,di cui accidenti di trasporto
Nord-est,15-19 anni,maschi,di cui avvelenamento accidentale
Nord-est,65-69 anni,femmine,di cui avvelenamento accidentale
Nord-est,70-74 anni,totale,di cui tumori maligni del cervello e del sistema nervoso centrale
Nord-est,40-44 anni,totale,di cui leucemia
Nord-est,0 anni,maschi,sindrome della morte improvvisa nell'infanzia
Nord-est,30-34 anni,maschi,suicidio e autolesione intenzionale
Nord-est,70-74 anni,femmine,di cui tumori maligni dello stomaco
Nord-est,30-34 anni,totale,malattie dell'apparato genitourinario
Nord-est,65-69 anni,femmine,altri disturbi psichici e comportamentali
Nord-est,70-74 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Nord-est,25-29 anni,maschi,"altri sintomi, segni, risultati anomali e cause mal definite"
Nord-est,50-54 anni,totale,di cui tumori maligni del cervello e del sistema nervoso centrale
Nord-est,85-89 anni,maschi,altre malattie del sistema nervoso e degli organi di senso
Nord-est,40-44 anni,femmine,di cui morbo di hodgkin e linfomi
Nord-est,65-69 anni,femmine,di cui tumori maligni del pancreas
Nord-est,25-29 anni,maschi,"omicidio, aggressione"
Nord-est,65-69 anni,totale,di cui tumori maligni dell'esofago
Nord-est,30-34 anni,femmine,"omicidio, aggressione"
Nord-est,65-69 anni,totale,malattia di alzheimer
Nord-est,5-9 anni,maschi,di cui tumori maligni del cervello e del sistema nervoso centrale
Nord-est,75-79 anni,femmine,malattie della cute e del tessuto sottocutaneo
Nord-est,95 anni e più,femmine,epatite virale
Nord-est,25-29 anni,totale,cause sconosciute e non specificate
Nord-est,85-89 anni,femmine,di cui leucemia
Nord-est,80-84 anni,totale,altre malattie dell'apparato genitourinario
Nord-est,90-94 anni,totale,totale
Nord-est,75-79 anni,femmine,di cui tumori maligni della tiroide
Nord-est,75-79 anni,maschi,di cui morbo di hodgkin e linfomi
Nord-est,55-59 anni,maschi,malattie del sistema circolatorio
Nord-est,80-84 anni,femmine,di cui tumori maligni dell'esofago
Nord-est,90-94 anni,maschi,abuso di alcool (compresa psicosi alcolica)
Nord-est,55-59 anni,maschi,altre malattie del cuore
Nord-est,25-29 anni,totale,eventi di intento indeterminato
Nord-est,70-74 anni,totale,cause sconosciute e non specificate
Nord-est,75-79 anni,femmine,malattie del sistema osteomuscolare e del tessuto connettivo
Nord-est,50-54 anni,maschi,"Covid-19, virus identificato"
Nord-est,85-89 anni,maschi,artrite reumatoide a osteoartrosi
Nord-est,90-94 anni,maschi,di cui leucemia
Nord-est,50-54 anni,femmine,totale
Nord-est,25-29 anni,maschi,tumori maligni
Nord-est,25-29 anni,maschi,di cui altri accidenti
Nord-est,65-69 anni,femmine,di cui tumori maligni di altre parti dell'utero
Nord-est,55-59 anni,totale,disturbi psichici e comportamentali
Nord-est,50-54 anni,totale,di cui leucemia
Nord-est,65-69 anni,totale,malattie del sistema nervoso e degli organi di senso
Nord-est,30-34 anni,maschi,malattie croniche delle basse vie respiratorie
Nord-est,55-59 anni,maschi,"Covid-19, virus identificato"
Nord-est,90-94 anni,femmine,malattie della cute e del tessuto sottocutaneo
Nord-est,40-44 anni,femmine,di cui cadute accidentali
Nord-est,80-84 anni,femmine,Covid-19
Nord-est,80-84 anni,femmine,tubercolosi
Nord-est,65-69 anni,femmine,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Nord-est,1-4 anni,femmine,malattie del sistema nervoso e degli organi di senso
Nord-est,15-19 anni,femmine,di cui altri tumori maligni
Nord-est,20-24 anni,femmine,di cui morbo di hodgkin e linfomi
Nord-est,5-9 anni,totale,tumori non maligni (benigni e di comportamento incerto)
Nord-est,50-54 anni,femmine,di cui tumori maligni dello stomaco
Nord-est,95 anni e più,maschi,tumori non maligni (benigni e di comportamento incerto)
Nord-est,5-9 anni,totale,tumori
Nord-est,45-49 anni,femmine,malattie ischemiche del cuore
Nord-est,75-79 anni,totale,malattia di alzheimer
Nord-est,90-94 anni,femmine,"sintomi, segni, risultati anomali e cause mal definite"
Nord-est,5-9 anni,femmine,"Covid-19, virus identificato"
Nord-est,30-34 anni,femmine,"malattie endocrine, nutrizionali e metaboliche"
Nord-est,85-89 anni,femmine,tumori non maligni (benigni e di comportamento incerto)
Nord-est,85-89 anni,femmine,di cui accidenti di trasporto
Nord-est,90-94 anni,femmine,malattie cerebrovascolari
Nord-est,90-94 anni,totale,di cui accidenti di trasporto
Nord-est,45-49 anni,femmine,altre malattie del sistema circolatorio
Nord-est,30-34 anni,totale,"di cui tumori maligni delle labbra, cavità orale e faringe"
Nord-est,50-54 anni,maschi,altre malattie infettive e parassitarie
Nord-est,70-74 anni,maschi,"altri sintomi, segni, risultati anomali e cause mal definite"
Nord-est,80-84 anni,femmine,di cui tumori maligni del rene
Nord-est,65-69 anni,femmine,di cui tumori maligni dello stomaco
Nord-est,70-74 anni,femmine,di cui tumori maligni del seno
Nord-est,totale,femmine,di cui tumori maligni della laringe
Nord-est,80-84 anni,femmine,du cui altre malattie ischemiche del cuore
Nord-est,85-89 anni,femmine,"altri sintomi, segni, risultati anomali e cause mal definite"
Nord-est,65-69 anni,maschi,altre malattie del sistema circolatorio
Nord-est,70-74 anni,maschi,tumori maligni
Nord-est,15-19 anni,totale,di cui annegamento e sommersione accidentali
Nord-est,25-29 anni,totale,disturbi psichici e comportamentali
Nord-est,totale,totale,malformazioni congenite ed anomalie cromosomiche
Nord-est,95 anni e più,totale,altre malattie infettive e parassitarie
Nord-est,60-64 anni,totale,"dipendenza da droghe, tossicomania"
Nord-est,70-74 anni,totale,malattie del sistema respiratorio
Nord-est,50-54 anni,maschi,malattie del sistema respiratorio
Nord-est,75-79 anni,femmine,di cui tumori maligni di altre parti dell'utero
Nord-est,75-79 anni,totale,morbo di parkinson
Nord-est,80-84 anni,totale,"Covid-19, virus non identificato"
Nord-est,55-59 anni,totale,"omicidio, aggressione"
Nord-est,85-89 anni,maschi,"di cui tumori maligni del colon, del retto e dell'ano"
Nord-est,85-89 anni,femmine,influenza
Nord-est,95 anni e più,totale,di cui tumori maligni del rene
Nord-est,60-64 anni,totale,di cui altri accidenti
Nord-est,95 anni e più,totale,malformazioni congenite ed anomalie cromosomiche
Nord-est,0 anni,femmine,altre malattie del sistema circolatorio
Nord-est,60-64 anni,maschi,di cui leucemia
Nord-est,45-49 anni,femmine,totale
Nord-est,90-94 anni,femmine,di cui leucemia
Nord-est,80-84 anni,totale,di cui tumori maligni dell'ovaio
Nord-est,totale,maschi,"Covid-19, altro"
Nord-est,95 anni e più,femmine,altri disturbi psichici e comportamentali
Nord-est,10-14 anni,totale,di cui morbo di hodgkin e linfomi
Nord-est,95 anni e più,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Nord-est,10-14 anni,totale,di cui leucemia
Nord-est,70-74 anni,totale,altre malattie infettive e parassitarie
Nord-est,55-59 anni,femmine,alcune condizioni morbose che hanno origine nel periodo perinatale
Nord-est,85-89 anni,maschi,altre malattie dell'apparato genitourinario
Nord-est,65-69 anni,femmine,malformazioni congenite ed anomalie cromosomiche
Nord-est,55-59 anni,maschi,di cui altri accidenti
Nord-est,45-49 anni,totale,diabete mellito
Nord-est,85-89 anni,maschi,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Nord-est,90-94 anni,totale,di cui asma
Nord-est,80-84 anni,totale,di cui morbo di hodgkin e linfomi
Nord-est,40-44 anni,femmine,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Nord-est,55-59 anni,totale,tubercolosi
Nord-est,35-39 anni,maschi,altre malattie dell'apparato digerente
Nord-est,75-79 anni,maschi,"di cui tumori maligni del colon, del retto e dell'ano"
Nord-est,55-59 anni,totale,malattie croniche delle basse vie respiratorie
Nord-est,40-44 anni,totale,malattie del rene e dell'uretere
Nord-est,50-54 anni,maschi,du cui altre malattie ischemiche del cuore
Nord-est,55-59 anni,femmine,abuso di alcool (compresa psicosi alcolica)
Nord-est,15-19 anni,femmine,malattie dell'apparato digerente
Nord-est,70-74 anni,maschi,"omicidio, aggressione"
Nord-est,55-59 anni,femmine,du cui altre malattie ischemiche del cuore
Nord-est,95 anni e più,maschi,"altri sintomi, segni, risultati anomali e cause mal definite"
Nord-est,55-59 anni,femmine,di cui tumori maligni del cervello e del sistema nervoso centrale
Nord-est,50-54 anni,maschi,di cui tumori maligni della laringe
Nord-est,75-79 anni,maschi,diabete mellito
Nord-est,50-54 anni,femmine,polmonite
Nord-est,30-34 anni,totale,di cui tumori maligni del cervello e del sistema nervoso centrale
Nord-est,70-74 anni,maschi,cause sconosciute e non specificate
Nord-est,20-24 anni,maschi,di cui leucemia
Nord-est,95 anni e più,femmine,altre malattie del sistema nervoso e degli organi di senso
Nord-est,80-84 anni,maschi,malattie croniche delle basse vie respiratorie
Nord-est,35-39 anni,femmine,"malattie endocrine, nutrizionali e metaboliche"
Nord-est,75-79 anni,maschi,malattie croniche delle basse vie respiratorie
Nord-est,65-69 anni,maschi,di cui altri tumori maligni
Nord-est,20-24 anni,femmine,"sintomi, segni, risultati anomali e cause mal definite"
Nord-est,60-64 anni,femmine,"altri sintomi, segni, risultati anomali e cause mal definite"
Nord-est,35-39 anni,maschi,"Covid-19, virus identificato"
Nord-est,65-69 anni,totale,polmonite
Nord-est,40-44 anni,femmine,di cui leucemia
Nord-est,50-54 anni,maschi,epatite virale
Nord-est,90-94 anni,femmine,malattia di alzheimer
Nord-est,5-9 anni,maschi,cause esterne di traumatismo e avvelenamento
Nord-est,75-79 anni,totale,alcune malattie infettive e parassitarie
Nord-est,50-54 anni,femmine,di cui tumori maligni dell'ovaio
Nord-est,50-54 anni,femmine,malattie ischemiche del cuore
Nord-est,1-4 anni,femmine,cause esterne di traumatismo e avvelenamento
Nord-est,75-79 anni,femmine,diabete mellito
Nord-est,85-89 anni,maschi,alcune malattie infettive e parassitarie
Nord-est,30-34 anni,femmine,suicidio e autolesione intenzionale
Nord-est,45-49 anni,totale,di cui tumori maligni della vescica
Nord-est,65-69 anni,totale,cause sconosciute e non specificate
Nord-est,20-24 anni,femmine,malattie del sistema circolatorio
Nord-est,35-39 anni,maschi,"altri sintomi, segni, risultati anomali e cause mal definite"
Nord-est,totale,femmine,altre malattie del sistema respiratorio
Nord-est,25-29 anni,maschi,malattie del sistema circolatorio
Nord-est,totale,totale,malattie del sistema circolatorio
Nord-est,95 anni e più,femmine,"Covid-19, virus non identificato"
Nord-est,85-89 anni,femmine,di cui tumori maligni del rene
Nord-est,50-54 anni,totale,"altre malattie endocrine, nutrizionali e metaboliche"
Nord-est,95 anni e più,totale,suicidio e autolesione intenzionale
Nord-est,75-79 anni,femmine,disturbi psichici e comportamentali
Nord-est,85-89 anni,maschi,di cui tumori maligni della prostata
Nord-est,80-84 anni,femmine,abuso di alcool (compresa psicosi alcolica)
Nord-est,60-64 anni,maschi,di cui annegamento e sommersione accidentali
Nord-est,90-94 anni,totale,altre malattie del sistema nervoso e degli organi di senso
Nord-est,25-29 anni,femmine,altre malattie del sistema circolatorio
Nord-est,70-74 anni,femmine,malattie dell'apparato digerente
Nord-est,40-44 anni,totale,di cui tumori maligni del cervello e del sistema nervoso centrale
Nord-est,50-54 anni,femmine,cause esterne di traumatismo e avvelenamento
Nord-est,90-94 anni,totale,di cui leucemia
Nord-est,totale,maschi,cause sconosciute e non specificate
Nord-est,40-44 anni,femmine,di cui avvelenamento accidentale
Nord-est,totale,maschi,malattie croniche delle basse vie respiratorie
Nord-est,95 anni e più,femmine,di cui tumori maligni del rene
Nord-est,50-54 anni,totale,tumori
Nord-est,75-79 anni,maschi,"altri sintomi, segni, risultati anomali e cause mal definite"
Nord-est,80-84 anni,totale,altre malattie infettive e parassitarie
Nord-est,15-19 anni,maschi,malattie del sistema respiratorio
Nord-est,80-84 anni,maschi,cause esterne di traumatismo e avvelenamento
Nord-est,1-4 anni,totale,altre malattie del sistema respiratorio
Nord-est,10-14 anni,maschi,malattie del sistema circolatorio
Nord-est,45-49 anni,maschi,demenza
Nord-est,50-54 anni,femmine,di cui tumori maligni della cervice uterina
Nord-est,95 anni e più,totale,di cui tumori maligni della prostata
Nord-est,50-54 anni,femmine,alcune malattie infettive e parassitarie
Nord-est,15-19 anni,maschi,"altre malattie endocrine, nutrizionali e metaboliche"
Nord-est,80-84 anni,maschi,"cirrosi, fibrosi ed epatite cronica"
Nord-est,90-94 anni,maschi,"di cui tumori maligni delle labbra, cavità orale e faringe"
Nord-est,90-94 anni,maschi,tubercolosi
Nord-est,25-29 anni,maschi,di cui altri tumori maligni
Nord-est,75-79 anni,maschi,aids (malattia da hiv)
Nord-est,30-34 anni,femmine,di cui tumori maligni dello stomaco
Nord-est,60-64 anni,totale,di cui asma
Nord-est,70-74 anni,totale,totale
Nord-est,85-89 anni,maschi,"Covid-19, virus identificato"
Nord-est,90-94 anni,totale,di cui tumori maligni del seno
Nord-est,65-69 anni,maschi,malattie del rene e dell'uretere
Nord-est,55-59 anni,totale,di cui accidenti di trasporto
Nord-est,75-79 anni,femmine,malattie ischemiche del cuore
Nord-est,80-84 anni,femmine,tumori non maligni (benigni e di comportamento incerto)
Nord-est,40-44 anni,maschi,"altre malattie endocrine, nutrizionali e metaboliche"
Nord-est,90-94 anni,maschi,altre malattie del cuore
Nord-est,15-19 anni,totale,alcune condizioni morbose che hanno origine nel periodo perinatale
Nord-est,50-54 anni,totale,malattie dell'apparato digerente
Nord-est,35-39 anni,femmine,malattie cerebrovascolari
Nord-est,75-79 anni,maschi,altre malattie del cuore
Nord-est,95 anni e più,maschi,malattie del sistema respiratorio
Nord-est,65-69 anni,femmine,du cui altre malattie ischemiche del cuore
Nord-est,75-79 anni,femmine,"sintomi, segni, risultati anomali e cause mal definite"
Nord-est,65-69 anni,maschi,"dipendenza da droghe, tossicomania"
Nord-est,85-89 anni,totale,altre cause esterne di traumatismo e avvelenamento
Nord-est,90-94 anni,femmine,di cui melanomi maligni della cute
Nord-est,45-49 anni,maschi,cause sconosciute e non specificate
Nord-est,totale,maschi,di cui altri tumori maligni
Nord-est,30-34 anni,maschi,altre malattie del sistema circolatorio
Nord-est,45-49 anni,totale,polmonite
Nord-est,25-29 anni,totale,tumori
Nord-est,60-64 anni,maschi,malattie del sistema circolatorio
Nord-est,60-64 anni,totale,di cui tumori maligni della laringe
Nord-est,5-9 anni,femmine,"malattie endocrine, nutrizionali e metaboliche"
Nord-est,35-39 anni,totale,malattie del sistema respiratorio
Nord-est,55-59 anni,maschi,du cui altre malattie ischemiche del cuore
Nord-est,65-69 anni,maschi,Covid-19
Nord-est,75-79 anni,totale,malattie ischemiche del cuore
Nord-est,50-54 anni,totale,"altri sintomi, segni, risultati anomali e cause mal definite"
Nord-est,90-94 anni,femmine,malattie dell'apparato genitourinario
Nord-est,20-24 anni,maschi,tumori non maligni (benigni e di comportamento incerto)
Nord-est,55-59 anni,maschi,malattie croniche delle basse vie respiratorie
Nord-est,55-59 anni,totale,di cui altri accidenti
Nord-est,65-69 anni,totale,di cui melanomi maligni della cute
Nord-est,35-39 anni,totale,di cui avvelenamento accidentale
Nord-est,90-94 anni,totale,malattie del sistema respiratorio
Nord-est,40-44 anni,femmine,malattie del sistema respiratorio
Nord-est,45-49 anni,totale,Covid-19
Nord-est,50-54 anni,totale,"sintomi, segni, risultati anomali e cause mal definite"
Nord-est,80-84 anni,maschi,alcune malattie infettive e parassitarie
Nord-est,70-74 anni,femmine,malattie del sistema respiratorio
Nord-est,20-24 anni,femmine,di cui cadute accidentali
Nord-est,20-24 anni,maschi,totale
Nord-est,30-34 anni,maschi,tumori
Nord-est,totale,femmine,totale
Nord-est,55-59 anni,maschi,abuso di alcool (compresa psicosi alcolica)
Nord-est,70-74 anni,femmine,di cui leucemia
Nord-est,55-59 anni,femmine,di cui tumori maligni della tiroide
Nord-est,35-39 anni,totale,"cirrosi, fibrosi ed epatite cronica"
Nord-est,10-14 anni,maschi,cause esterne di traumatismo e avvelenamento
Nord-est,totale,totale,du cui altre malattie ischemiche del cuore
Nord-est,10-14 anni,femmine,di cui tumori maligni del cervello e del sistema nervoso centrale
Nord-est,50-54 anni,maschi,morbo di parkinson
Nord-est,80-84 anni,femmine,"Covid-19, virus non identificato"
Nord-est,15-19 anni,totale,di cui asma
Nord-est,90-94 anni,maschi,di cui tumori maligni dello stomaco
Nord-est,55-59 anni,maschi,di cui tumori maligni della vescica
Nord-est,totale,totale,disturbi psichici e comportamentali
Nord-est,40-44 anni,maschi,"ulcera dello stomaco, duodeno e digiuno"
Nord-est,50-54 anni,femmine,di cui tumori maligni del seno
Nord-est,95 anni e più,totale,di cui asma
Nord-est,60-64 anni,totale,altre malattie del sistema nervoso e degli organi di senso
Nord-est,75-79 anni,maschi,tumori
Nord-est,30-34 anni,maschi,di cui tumori maligni della tiroide
Nord-est,0 anni,totale,altre malattie del cuore
Nord-est,45-49 anni,totale,malattie della cute e del tessuto sottocutaneo
Nord-est,55-59 anni,maschi,di cui tumori maligni dell'esofago
Nord-est,40-44 anni,maschi,di cui melanomi maligni della cute
Nord-est,20-24 anni,femmine,tumori
Nord-est,85-89 anni,femmine,accidenti
Nord-est,50-54 anni,femmine,"di cui tumori maligni delle labbra, cavità orale e faringe"
Nord-est,80-84 anni,femmine,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Nord-est,85-89 anni,femmine,di cui melanomi maligni della cute
Nord-est,95 anni e più,totale,totale
Nord-est,95 anni e più,totale,di cui altri tumori maligni
Nord-est,65-69 anni,maschi,di cui accidenti di trasporto
Nord-est,40-44 anni,maschi,di cui tumori maligni del rene
Nord-est,85-89 anni,maschi,di cui tumori maligni della tiroide
Nord-est,50-54 anni,maschi,di cui tumori maligni del seno
Nord-est,5-9 anni,totale,malformazioni congenite ed anomalie cromosomiche
Nord-est,80-84 anni,maschi,tumori
Nord-est,80-84 anni,femmine,di cui altre malattie croniche delle basse vie respiratorie
Nord-est,75-79 anni,totale,di cui tumori maligni dell'esofago
Nord-est,45-49 anni,maschi,di cui tumori maligni del cervello e del sistema nervoso centrale
Nord-est,70-74 anni,maschi,di cui cadute accidentali
Nord-est,70-74 anni,totale,malattie della cute e del tessuto sottocutaneo
Nord-est,90-94 anni,maschi,di cui melanomi maligni della cute
Nord-est,70-74 anni,totale,cause esterne di traumatismo e avvelenamento
Nord-est,65-69 anni,totale,malattie del sistema circolatorio
Nord-est,45-49 anni,totale,malattie del sistema respiratorio
Nord-est,35-39 anni,maschi,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Nord-est,30-34 anni,totale,altri disturbi psichici e comportamentali
Nord-est,55-59 anni,maschi,di cui melanomi maligni della cute
Nord-est,55-59 anni,totale,di cui tumori maligni dell'ovaio
Nord-est,totale,maschi,di cui melanomi maligni della cute
Nord-est,30-34 anni,femmine,malattie dell'apparato digerente
Nord-est,90-94 anni,totale,di cui altri tumori maligni
Nord-est,80-84 anni,femmine,altri disturbi psichici e comportamentali
Nord-est,5-9 anni,totale,malattie del sistema respiratorio
Nord-est,75-79 anni,maschi,malformazioni congenite ed anomalie cromosomiche
Nord-est,45-49 anni,femmine,malattie cerebrovascolari
Nord-est,55-59 anni,totale,di cui leucemia
Nord-est,40-44 anni,maschi,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Nord-est,20-24 anni,maschi,di cui morbo di hodgkin e linfomi
Nord-est,40-44 anni,femmine,"malattie endocrine, nutrizionali e metaboliche"
Nord-est,40-44 anni,maschi,altre malattie dell'apparato genitourinario
Nord-est,65-69 anni,totale,tumori non maligni (benigni e di comportamento incerto)
Nord-est,75-79 anni,maschi,"malattie endocrine, nutrizionali e metaboliche"
Nord-est,70-74 anni,maschi,tumori non maligni (benigni e di comportamento incerto)
Nord-est,80-84 anni,maschi,demenza
Nord-est,70-74 anni,maschi,malattie dell'apparato digerente
Nord-est,35-39 anni,totale,altre malattie del sistema nervoso e degli organi di senso
Nord-est,95 anni e più,femmine,altre malattie del sistema circolatorio
Nord-est,95 anni e più,maschi,malattie croniche delle basse vie respiratorie
Nord-est,90-94 anni,totale,di cui tumori maligni del cervello e del sistema nervoso centrale
Nord-est,85-89 anni,maschi,malformazioni congenite ed anomalie cromosomiche
Nord-est,55-59 anni,totale,di cui asma
Nord-est,15-19 anni,femmine,tumori maligni
Nord-est,55-59 anni,totale,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Nord-est,60-64 anni,femmine,di cui altri tumori maligni
Nord-est,totale,femmine,altre malattie del sistema osteomuscolare e del tessuto connettivo
Nord-est,80-84 anni,femmine,diabete mellito
Nord-est,55-59 anni,maschi,"dipendenza da droghe, tossicomania"
Nord-est,85-89 anni,maschi,malattie dell'apparato genitourinario
Nord-est,40-44 anni,femmine,malattie del sistema osteomuscolare e del tessuto connettivo
Nord-est,70-74 anni,maschi,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Nord-est,70-74 anni,femmine,altre malattie del sistema circolatorio
Nord-est,40-44 anni,totale,malattie del sistema osteomuscolare e del tessuto connettivo
Nord-est,95 anni e più,totale,di cui tumori maligni del seno
Nord-est,60-64 anni,totale,suicidio e autolesione intenzionale
Nord-est,55-59 anni,totale,abuso di alcool (compresa psicosi alcolica)
Nord-est,85-89 anni,maschi,demenza
Nord-est,75-79 anni,femmine,"omicidio, aggressione"
Nord-est,65-69 anni,maschi,di cui tumori maligni dello stomaco
Nord-est,35-39 anni,totale,altre malattie del cuore
Nord-est,65-69 anni,maschi,di cui morbo di hodgkin e linfomi
Nord-est,50-54 anni,femmine,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Nord-est,totale,totale,"di cui tumori maligni delle labbra, cavità orale e faringe"
Nord-est,85-89 anni,maschi,malattia di alzheimer
Nord-est,55-59 anni,totale,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Nord-est,80-84 anni,totale,altre malattie del sistema respiratorio
Nord-est,55-59 anni,femmine,malformazioni congenite ed anomalie cromosomiche
Nord-est,45-49 anni,totale,tumori non maligni (benigni e di comportamento incerto)
Nord-est,5-9 anni,maschi,malattie del sistema nervoso e degli organi di senso
Nord-est,70-74 anni,totale,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Nord-est,50-54 anni,totale,di cui tumori maligni della vescica
Nord-est,55-59 anni,femmine,malattie dell'apparato digerente
Nord-est,50-54 anni,totale,malattie dell'apparato genitourinario
Nord-est,95 anni e più,totale,epatite virale
Nord-est,70-74 anni,totale,"Covid-19, virus non identificato"
Nord-est,20-24 anni,maschi,diabete mellito
Nord-est,35-39 anni,femmine,"altre malattie endocrine, nutrizionali e metaboliche"
Nord-est,80-84 anni,femmine,altre malattie del sistema circolatorio
Nord-est,35-39 anni,femmine,du cui altre malattie ischemiche del cuore
Nord-est,totale,totale,cause esterne di traumatismo e avvelenamento
Nord-est,55-59 anni,femmine,malattie del sistema osteomuscolare e del tessuto connettivo
Nord-est,85-89 anni,maschi,altre malattie dell'apparato digerente
Nord-est,20-24 anni,totale,altre malattie del sistema respiratorio
Nord-est,50-54 anni,femmine,malattie croniche delle basse vie respiratorie
Nord-est,55-59 anni,maschi,"di cui tumori maligni delle labbra, cavità orale e faringe"
Nord-est,non indicato,maschi,"sintomi, segni, risultati anomali e cause mal definite"
Nord-est,35-39 anni,maschi,malattie cerebrovascolari
Nord-est,20-24 anni,maschi,alcune malattie infettive e parassitarie
Nord-est,60-64 anni,maschi,Covid-19
Nord-est,45-49 anni,femmine,malattie del sistema nervoso e degli organi di senso
Nord-est,70-74 anni,totale,altre malattie dell'apparato digerente
Nord-est,70-74 anni,maschi,Covid-19
Nord-est,totale,totale,"dipendenza da droghe, tossicomania"
Nord-est,40-44 anni,totale,di cui tumori maligni del pancreas
Nord-est,1-4 anni,totale,di cui accidenti di trasporto
Nord-est,60-64 anni,femmine,malattie ischemiche del cuore
Nord-est,40-44 anni,maschi,disturbi psichici e comportamentali
Nord-est,40-44 anni,totale,"malattie endocrine, nutrizionali e metaboliche"
Nord-est,45-49 anni,totale,"omicidio, aggressione"
Nord-est,80-84 anni,maschi,altre malattie del sistema osteomuscolare e del tessuto connettivo
Nord-est,20-24 anni,totale,malattie del sistema nervoso e degli organi di senso
Nord-est,75-79 anni,maschi,eventi di intento indeterminato
Nord-est,30-34 anni,totale,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Nord-est,75-79 anni,femmine,altre malattie infettive e parassitarie
Nord-est,75-79 anni,totale,cause esterne di traumatismo e avvelenamento
Nord-est,60-64 anni,totale,di cui tumori maligni dello stomaco
Nord-est,20-24 anni,maschi,malformazioni congenite ed anomalie cromosomiche
Nord-est,0 anni,totale,tumori
Nord-est,65-69 anni,femmine,influenza
Nord-est,25-29 anni,maschi,di cui infarto miocardico acuto
Nord-est,65-69 anni,maschi,tumori maligni
